index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
Horror_17.jpg3,#dbdbdc',219,219,220,87.43332033,33.85078207,9.741357915,12.57908465,87.22726947,110.1724693,68.59491648,97.91316053,83.23932901,120.2518284,49.4062133,50.28894384,109.1159359,144.2575453,83.85637403,89.83479976,118.2805502,70.0458713
Horror_18.jpg3,#52647f',82,100,127,45.32269785,20.83566418,39.73826434,60.60035775,74.88050468,116.7397811,75.7648705,126.5429473,85.04363236,140.2403003,31.09225732,69.08012472,72.91496947,120.5227096,104.4261691,62.88199443,108.7623491,63.99116849
Horror_18.jpg2,#dcdcdd',220,220,221,87.78814097,34.2055631,10.09567228,12.22455056,87.47933041,110.2829818,68.77919063,97.87820362,83.41520701,120.2510706,49.68802093,50.26416341,109.3586703,144.3939045,83.90966021,90.0631665,118.3627065,70.29923272
Horror_6.jpg3,#5d5f62',93,95,98,40.2845765,13.49687212,37.52171381,59.79765616,64.35133615,106.737205,61.15766302,114.0278484,73.39249461,130.0517419,30.50413085,70.95805843,83.3456048,132.5374774,91.29062884,69.2002388,116.377836,50.60099115
Horror_6.jpg2,#131213',19,18,19,5.633494815,48.00779609,72.12522976,94.41990552,64.26283721,114.7308292,74.75035621,133.7269336,83.19822596,145.8564634,52.4703716,99.3699844,79.89898899,135.7541988,107.9613583,72.70869481,127.1799437,58.30526474
Horror_7.jpg2,#71573b',113,87,59,44.48422494,25.95495282,44.27571159,64.68830416,46.88217172,88.17581415,43.28591788,98.38790345,65.90664514,122.3299241,46.74926633,83.16624699,97.82744495,147.4092059,70.86247239,77.69582276,124.1518036,28.54796689
Horror_7.jpg3,#25180e',37,24,14,13.80006397,45.05635925,68.79168928,90.91225855,54.59335318,104.8207785,66.47407179,125.4681528,79.09997022,141.3262548,54.075738,99.83653584,84.79608517,139.9339558,97.8764879,73.14568487,126.8416061,47.83611489
Horror_7.jpg1,#dddcdc',221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159,69.9183396
Horror_0.jpg3,#dddcdc',221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159,69.9183396
Horror_0.jpg2,#0e0504',14,5,4,3.262730686,51.7499362,75.84773476,98.13280813,63.26317618,114.1514712,76.16740045,135.395767,85.15248808,148.0377585,56.70427135,103.6222318,80.70233871,136.8827849,108.797266,73.51591523,128.3125946,58.51942159
Horror_0.jpg1,#745946',116,89,70,43.6777641,21.99271573,41.43493121,62.38294614,48.1010111,89.61033142,47.99199123,102.0785263,69.51899666,125.7135028,44.80454317,81.50812771,93.10926889,142.3075975,74.27136093,73.15372622,119.562653,31.60365738
Horror_6.jpg1,#dbdcdc',219,220,220,87.68636051,34.10250876,9.987655419,12.31958471,87.53014076,110.4012659,68.3211285,97.41416826,82.8190433,119.6209867,49.36766586,49.87638444,109.7327681,144.9148001,83.69222739,90.48569713,118.9578525,70.20484339
